title,combined
The Operative,a woman is recruited by the mossad to work undercover in tehran. dianekruger martinfreeman casanvar yuvaladler action drama mystery
Miss Bala,"gloria finds a power she never knew she had when she is drawn into a dangerous world of cross-border crime. surviving will require all of her cunning, inventiveness, and strength. based on the spanish-language film. ginarodriguez thomasdekker vivianchan catherinehardwicke action crime drama"
Trick,"a no-nonsense detective tries to track down a mass murderer named trick, who is terrorizing a small town. jamiekennedy tomatkins omarepps patricklussier horror"
Jungleland,two brothers try to escape their circumstances by travelling across the country for a no holds barred boxing match that becomes a fight for their lives. charliehunnam jacko'connell naheemgarcia maxwinkler drama
Impetigore,"maya with her best friend, dini, tries to survive in a city without a family. she realized that she might inherit a property from her rich family. maya returns to the village with dini and unaware of the danger was waiting for her. tarabasro ariobayu marissaanita jokoanwar drama horror mystery"
The Painted Bird,a young jewish boy somewhere in eastern europe seeks refuge during world war ii where he encounters many different characters. petrkotlár ninasunevic allasokolova václavmarhoul drama war
The Best of Enemies,"civil rights activist ann atwater faces off against c.p. ellis, exalted cyclops of the ku klux klan, in 1971 durham, north carolina over the issue of school integration. tarajip.henson samrockwell babouceesay robinbissell biography drama history"
Rim of the World,four misfit campers must band together and conquer their fears in order to save the world during an alien invasion. jackgore miyacech benjaminfloresjr. mcg action adventure comedy
The Hole in the Ground,"a single mother living in the irish countryside with her son begins to suspect he may not be her son at all, and fears his increasingly disturbing behavior is linked to a mysterious sinkhole in the forest behind their house. seánakerslake jamesquinnmarkey katioutinen leecronin drama horror mystery"
Halloween III,michael myers is loose in haddonfield again for one last night. can maxwell loomis stop him once and for all? will judy strode and her friends survive? find out in cnt films halloween 3 skylarlemon jayjames talonfrazier dakotamiller horror
"Mektoub, My Love: Intermezzo","it's the end of summer vacation for amin, the young photographer. he spends cozy evenings with charlotte, the ex-girlfriend of tony, his casanova cousin. she talks to him about literature, ...                see full summary » shaïnboumedine ophéliebau salimkechiouche abdellatifkechiche comedy drama romance"
Triple Threat,"when a billionaire's daughter intent on bringing down a major crime syndicate is targeted by a group of professional assassins, a team of mercenaries must stop them before they kill her. tonyjaa tigerhuchen ikouwais jessev.johnson action thriller"
Dark Encounter,"eight-year-old maisie went missing in 1982 and a memorial is held by her family a year later. that evening, strange lights and sounds are observed in the woods outside - and strange things start to happen. laurafraser melraido sidphoenix carlstrathie mystery sciencefiction thriller"
The Cleansing Hour,"another successful ""exorcism"" streamed online - or so it seems. can the ""exorcist"", producer and their team bring the ratings up? ratings skyrocket, when a real demon gets involved. ryanguzman kylegallner alixangelis damienleveck horror"
The Perfect Date,"to save up for college, brooks rattigan creates an app where anyone can pay him to play the perfect stand-in boyfriend for any occasion. noahcentineo lauramarano odiseasgeorgiadis chrisnelson comedy romance"
Plus One,"in order to survive a summer of wedding fever, longtime single friends, ben and alice, agree to be each other's plus one at every wedding they've been invited to. mayaerskine jackquaid edbegleyjr. jeffchan,andrewrhymer comedy drama romance"
Blackbird,a terminally ill mother arranges to bring her family together one last time before she dies. a remake of the 2014 danish film 'silent heart'. samneill susansarandon ansonboon rogermichell drama
Bacurau,"after the death of her grandmother, teresa comes home to her matriarchal village in a near-future brazil to find a succession of sinister events that mobilizes all of its residents. bárbaracolen thomasaquino silveropereira julianodornelles,klebermendonçafilho adventure mystery thriller"
Trouble,"a pampered dog named trouble must learn to live in the real world, while trying to escape from his former owner's greedy children. bigsean pamelaadlon lucyhale kevinjohnson animation adventure comedy"
Above the Shadows,a young woman who has faded to the point of becoming invisible must find her way back with the help of the one man who can see her. oliviathirlby alanritchson jimgaffigan claudiamyers drama fantasy romance
Killerman,"two nyc money launderers make a quick drug deal. things go wrong, as dirty cops are involved. one of the friends gets amnesia during their escape with the drugs and money. liamhemsworth emorycohen dianeguerrero malikbader thriller"
Primal,frank's caught wildlife in the brazilian jungle incl. a 400 lbs. white jaguar. he ships it on the same ship as an arrested assassin. the assassin breaks free and frees the animals. nicolascage famkejanssen kevindurand nickpowell action thriller
Cradle Robber,"single mother jessica seems to have a warm relationship with her 18 year old daughter tessa, until tessa begins dating an older man who's revealed to have a deadly history with her mother. clarekramer miatopalian davidfumero dannybuday thriller"
The Night House,a widow begins to uncover her recently deceased husband's disturbing secrets. rebeccahall sarahgoldberg vondiecurtis-hall davidbruckner horror mystery thriller
De slag om de Schelde,"1944, the second world war. a british glider pilot, a dutch boy fighting on the german side and a dutch female resistance member all end up involved in the battle of the schelde. their choices differ, but their goal is the same: freedom. gijsblom jamieflatters susanradder matthijsvanheijningenjr. drama war"
Promising Young Woman,"a young woman, traumatized by a tragic event in her past, seeks out vengeance against those who crossed her path. careymulligan boburnham alisonbrie emeraldfennell crime drama thriller"
365 dni,"massimo is a member of the sicilian mafia family and laura is a sales director. she does not expect that on a trip to sicily trying to save her relationship, massimo will kidnap her and give her 365 days to fall in love with him. annamariasieklucka michelemorrone bronislawwroclawski barbarabialowas,tomaszmandes drama romance"
Tenet,"armed with only one word, tenet, and fighting for the survival of the entire world, a protagonist journeys through a twilight world of international espionage on a mission that will unfold in something beyond real time. johndavidwashington robertpattinson elizabethdebicki christophernolan action sciencefiction thriller"
A Quiet Place Part II,"following the events at home, the abbott family now face the terrors of the outside world. forced to venture into the unknown, they realize the creatures that hunt by sound are not the only threats lurking beyond the sand path. emilyblunt millicentsimmonds cillianmurphy johnkrasinski drama horror sciencefiction"
The Father,"a man refuses all assistance from his daughter as he ages. as he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his reality. anthonyhopkins oliviacolman markgatiss florianzeller drama"
Hubie Halloween,"despite his devotion to his hometown of salem (and its halloween celebration), hubie dubois is a figure of mockery for kids and adults alike. but this year, something is going bump in the night, and it's up to hubie to save halloween. adamsandler kevinjames juliebowen stevenbrill comedy mystery"
Wonder Woman 1984,"diana must contend with a work colleague and businessman, whose desire for extreme wealth sends the world down a path of destruction, after an ancient artifact that grants wishes goes missing. galgadot chrispine kristenwiig pattyjenkins action adventure fantasy"
Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,"after splitting with the joker, harley quinn joins superheroes black canary, huntress and renee montoya to save a young girl from an evil crime lord. margotrobbie rosieperez maryelizabethwinstead cathyyan action adventure comedy"
The Courier,cold war spy greville wynne and his russian source try to put an end to the cuban missile crisis. benedictcumberbatch merabninidze rachelbrosnahan dominiccooke drama history thriller
Druk,four high school teachers consume alcohol on a daily basis to see how it affects their social and professional lives. madsmikkelsen thomasbolarsen magnusmillang thomasvinterberg comedy drama
Nomadland,"a woman in her sixties, after losing everything in the great recession, embarks on a journey through the american west, living as a van-dwelling modern-day nomad. francesmcdormand davidstrathairn lindamay chloézhao drama"
The Invisible Man,"when cecilia's abusive ex takes his own life and leaves her his fortune, she suspects his death was a hoax. as a series of coincidences turn lethal, cecilia works to prove that she is being hunted by someone nobody can see. elisabethmoss oliverjackson-cohen harrietdyer leighwhannell drama horror mystery"
Bruised,a disgraced mma fighter finds redemption in the cage and the courage to face her demons when the son she had given up as an infant unexpectedly reenters her life. halleberry stephenmckinleyhenderson adancanto halleberry drama sport
Boss Level,"trapped in a time loop that constantly repeats the day of his murder, a former special forces agent must unlock the mystery behind his untimely demise. frankgrillo melgibson naomiwatts joecarnahan action mystery sciencefiction"
Freaky,"after swapping bodies with a deranged serial killer, a young girl in high school discovers she has less than 24 hours before the change becomes permanent. vincevaughn kathrynnewton celesteo'connor christopherlandon comedy horror thriller"
Kimetsu no Yaiba: Mugen Ressha-Hen,"after his family was brutally murdered and his sister turned into a demon, tanjiro kamado's journey as a demon slayer began. tanjiro and his comrades embark on a new mission aboard the mugen train, on track to despair. natsukihanae akarikitô yoshitsugumatsuoka haruosotozaki animation action adventure"
Emma.,"in 1800s england, a well meaning but selfish young woman meddles in the love lives of her friends. anyataylor-joy johnnyflynn miagoth autumndewilde comedy drama romance"
The Hunt,"twelve strangers wake up in a clearing. they don't know where they are, or how they got there. they don't know they've been chosen - for a very specific purpose - the hunt. bettygilpin hilaryswank ikebarinholtz craigzobel action horror thriller"
Retfærdighedens ryttere,"markus goes home to his teenage daughter, mathilde, when his wife dies in a tragic train accident. it seems like an accident until a mathematics geek, who was also a fellow passenger on the train, and his two colleagues show up. madsmikkelsen nikolajliekaas andreaheickgadeberg andersthomasjensen action comedy drama"
News of the World,"a civil war veteran agrees to deliver a girl, taken by the kiowa people years ago, to her aunt and uncle, against her will. they travel hundreds of miles and face grave dangers as they search for a place that either can call home. tomhanks helenazengel tomastor paulgreengrass action adventure drama"
The Devil All the Time,sinister characters converge around a young man devoted to protecting those he loves in a postwar backwoods town teeming with corruption and brutality. tomholland billskarsgård rileykeough antoniocampos crime drama thriller
Gekijouban Poketto monsutâ: koko,"the story of koko, a young boy raised by pokémon, and the creation of a new bond between humans and pokémon. sarahnatochenny kimlinhtran edwardbosco tetsuoyajima animation action adventure"
Hamilton,"the real life of one of america's foremost founding fathers and first secretary of the treasury, alexander hamilton. captured live on broadway from the richard rodgers theater with the original broadway cast. lin-manuelmiranda phillipasoo leslieodomjr. thomaskail biography drama history"
Love and Monsters,"seven years after he survived the monster apocalypse, lovably hapless joel leaves his cozy underground bunker behind on a quest to reunite with his ex. dylano'brien jessicahenwick michaelrooker michaelmatthews action adventure comedy"
The Witches,a young boy and his grandmother have a run-in with a coven of witches and their leader. annehathaway octaviaspencer stanleytucci robertzemeckis adventure comedy family
After We Collided,"based on the 2014 romance novel of the same name, this follows the love life of two young adults. josephinelangford herofiennestiffin dylansprouse rogerkumble drama romance"
The Empty Man,"on the trail of a missing girl, an ex-cop comes across a secretive group attempting to summon a terrifying supernatural entity. jamesbadgedale marinireland sashafrolova davidprior horror mystery thriller"
Soul,"after landing the gig of a lifetime, a new york jazz pianist suddenly finds himself trapped in a strange land between earth and the afterlife. jamiefoxx tinafey grahamnorton petedocter,kemppowers animation adventure comedy"
The Dry,aaron falk returns to his drought-stricken hometown to attend a tragic funeral. but his return opens a decades-old wound - the unsolved death of a teenage girl. ericbana genevieveo'reilly keiro'donnell robertconnolly crime drama mystery
Greenland,a family struggles for survival in the face of a cataclysmic natural disaster. gerardbutler morenabaccarin rogerdalefloyd ricromanwaugh action drama thriller
Palm Springs,"stuck in a time loop, two wedding guests develop a budding romance while living the same day over and over again. andysamberg cristinmilioti j.k.simmons maxbarbakow comedy fantasy mystery"
What Is Life Worth,"an attorney in washington d.c. battles against cynicism, bureaucracy and politics to help the victims of 9/11. michaelkeaton amyryan stanleytucci saracolangelo biography drama history"
Occupation: Rainfall,"two years after aliens land on earth, survivors from sydney, australia, fight in a desperate war as the number of casualties continue to grow. danewing temueramorrison danielgillies lukesparke action sciencefiction"
Monster Hunter,"when cpt. artemis and her loyal soldiers are transported to a new world, they engage in a desperate battle for survival against enormous enemies with incredible powers. feature film based on the video game by capcom. millajovovich tonyjaa ronperlman paulw.s.anderson action adventure fantasy"
BAC Nord,"a police brigade working in the dangerous northern neighborhoods of marseille, where the level of crime is higher than anywhere else in france. gilleslellouche karimleklou françoiscivil cédricjimenez action crime thriller"
Minari,a korean family starts a farm in 1980s arkansas. stevenyeun yerihan alans.kim leeisaacchung drama
Hard Luck Love Song,a gritty love story about a charismatic but down-on-his-luck troubadour living out of cheap motels and making bad decisions. michaeldorman sophiabush dermotmulroney justincorsbie drama music romance
Extraction,"tyler rake, a fearless black market mercenary, embarks on the most deadly extraction of his career when he's enlisted to rescue the kidnapped son of an imprisoned international crime lord. chrishemsworth bryonlerum ryderlerum samhargrave action thriller"
Mulan,a young chinese maiden disguises herself as a male warrior in order to save her father. liuyifei donnieyen gongli nikicaro action adventure drama
I Care a Lot,a crooked legal guardian who drains the savings of her elderly wards meets her match when a woman she tries to swindle turns out to be more than she first appears. rosamundpike peterdinklage eizagonzález jblakeson comedy crime thriller
Underwater,a crew of oceanic researchers working for a deep sea drilling company try to get to safety after a mysterious earthquake devastates their deepwater research and drilling facility located at the bottom of the mariana trench. kristenstewart vincentcassel mamoudouathie williameubank adventure horror sciencefiction
Run,a homeschooled teenager begins to suspect her mother is keeping a dark secret from her. sarahpaulson kieraallen sarasohn aneeshchaganty mystery thriller
The Babysitter: Killer Queen,"two years after cole survived a satanic blood cult, he's living another nightmare: high school. and the demons from his past? still making his life hell. judahlewis samaraweaving jennaortega mcg comedy horror"
Enola Holmes,"when enola holmes-sherlock's teen sister-discovers her mother missing, she sets off to find her, becoming a super-sleuth in her own right as she outwits her famous brother and unravels a dangerous conspiracy around a mysterious young lord. milliebobbybrown henrycavill samclaflin harrybradbeer action adventure crime"
The New Mutants,"five young mutants, just discovering their abilities while held in a secret facility against their will, fight to escape their past sins and save themselves. maisiewilliams anyataylor-joy charlieheaton joshboone action horror mystery"
Run Hide Fight,"17-year-old zoe hull uses her wits, survival skills, and compassion to fight for her life, and those of her fellow classmates, against a group of live-streaming school shooters. isabelmay radhamitchell thomasjane kylerankin crime drama thriller"
Sonic the Hedgehog,"after discovering a small, blue, fast hedgehog, a small-town police officer must help him defeat an evil genius who wants to do experiments on him. benschwartz jamesmarsden jimcarrey jefffowler action adventure comedy"
The Comeback Trail,two movie producers who owe money to the mob set up their aging movie star for an insurance scam to try and save themselves. but they wind up getting more than they ever imagined. robertdeniro tommyleejones morganfreeman georgegallo comedy crime
The Croods: A New Age,"the prehistoric family the croods are challenged by a rival family the bettermans, who claim to be better and more evolved. nicolascage emmastone ryanreynolds joelcrawford animation adventure comedy"
Host,"six friends hire a medium to hold a seance via zoom during lockdown, but they get far more than they bargained for as things quickly go wrong. haleybishop jemmamoore emmalouisewebb robsavage horror mystery"
The Old Guard,a covert team of immortal mercenaries is suddenly exposed and must now fight to keep their identity a secret just as an unexpected new member is discovered. charlizetheron kikilayne matthiasschoenaerts ginaprince-bythewood action adventure fantasy
Dolittle,a physician who can talk to animals embarks on an adventure to find a legendary island with a young apprentice and a crew of strange pets. robertdowneyjr. antoniobanderas michaelsheen stephengaghan adventure comedy family
Greyhound,"several months after the u.s. entry into world war ii, an inexperienced u.s. navy commander must lead an allied convoy being stalked by a german submarine wolf pack. tomhanks elisabethshue stephengraham aaronschneider action drama history"
The Trial of the Chicago 7,"the story of 7 people on trial stemming from various charges surrounding the uprising at the 1968 democratic national convention in chicago, illinois. eddieredmayne alexsharp sachabaroncohen aaronsorkin drama history thriller"
Good Joe Bell,"the true story of a small town, working class father who embarks on a solo walk across the u.s. to crusade against bullying after his son is tormented in high school for being gay. markwahlberg reidmiller conniebritton reinaldomarcusgreen biography drama"
The Night Clerk,a voyeuristic hotel clerk becomes the subject of a murder investigation. tyesheridan anadearmas helenhunt michaelcristofer crime drama mystery
The King of Staten Island,scott has been a case of arrested development since his firefighter dad died. he spends his days smoking weed and dreaming of being a tattoo artist until events force him to grapple with his grief and take his first steps forward in life. petedavidson belpowley rickyvelez juddapatow comedy drama
Daman akeseo guhasoseo,"an assassin goes to thailand in order to solve a kidnapping case linked to him, and finds himself chased by a man whose sibling he killed. jung-minhwang leejung-jae jeongminpark won-chanhong action crime thriller"
Bill & Ted Face the Music,"once told they'd save the universe during a time-traveling adventure, 2 would-be rockers from san dimas, california find themselves as middle-aged dads still trying to crank out a hit song and fulfill their destiny. keanureeves alexwinter kristenschaal deanparisot adventure comedy music"
His House,"a refugee couple makes a harrowing escape from war-torn south sudan, but then they struggle to adjust to their new life in an english town that has an evil lurking beneath the surface. sopedirisu wunmimosaku malaikawakoli-abigaba remiweekes drama horror thriller"
What Lies Below,"a 16-year-old girl returns home from camp and learns that her mother has a new boyfriend, one she intends to marry. a man whose charm, intelligence and beauty make him look like he's not human at all. emahorvath troyiwata dannycorbo bradenr.duemmler horror mystery sciencefiction"
Eurovision Song Contest: The Story of Fire Saga,"when aspiring musicians lars and sigrit are given the opportunity to represent their country at the world's biggest song competition, they finally have a chance to prove that any dream worth having is a dream worth fighting for. willferrell rachelmcadams danstevens daviddobkin comedy music"
Shadow in the Cloud,a female wwii pilot traveling with top secret documents on a b-17 flying fortress encounters an evil presence on board the flight. chloëgracemoretz nickrobinson beulahkoale roseanneliang action horror war
Possessor,possessor follows an agent who works for a secretive organization that uses brain-implant technology to inhabit other people's bodies - ultimately driving them to commit assassinations for high-paying clients. andreariseborough christopherabbott jenniferjasonleigh brandoncronenberg horror mystery sciencefiction
I'm Thinking of Ending Things,"full of misgivings, a young woman travels with her new boyfriend to his parents' secluded farm. upon arriving, she comes to question everything she thought she knew about him, and herself. jesseplemons jessiebuckley tonicollette charliekaufman drama thriller"
Unhinged,"after a confrontation with an unstable man at an intersection, a woman becomes the target of his rage. russellcrowe carenpistorius gabrielbateman derrickborte action thriller"
Mank,1930's hollywood is reevaluated through the eyes of scathing social critic and alcoholic screenwriter herman j. mankiewicz as he races to finish the screenplay of citizen kane (1941). garyoldman amandaseyfried lilycollins davidfincher biography comedy drama
Ava,"ava is a deadly assassin who works for a black ops organization, traveling the globe specializing in high profile hits. when a job goes dangerously wrong she is forced to fight for her own survival. jessicachastain johnmalkovich common tatetaylor action crime drama"
Bad Boys for Life,"miami detectives mike lowrey and marcus burnett must face off against a mother-and-son pair of drug lords who wreak vengeful havoc on their city. willsmith martinlawrence vanessahudgens adilelarbi,bilallfallah action comedy crime"
Gekijouban Violet Evergarden,"after the aftermath of a war, a young girl who was used as a 'tool' for war learned to live. with the scars of burns, she goes back to her past to feel the true feelings of the major's, ""i love you."" yuiishikawa daisukenamikawa takehitokoyasu taichiishidate animation drama fantasy"
The Turning,"a young governess is hired to look after an orphaned girl, but the return of the girl's problematic brother uncovers secrets from their past. a modern take on henry james' novella ""the turn of the screw."" mackenziedavis finnwolfhard brooklynnprince floriasigismondi drama horror mystery"
Army of One,"out hiking, special forces brenner baker stumbles onto a cartel's compound. her husband's killed and she's left for dead. the cartel made two mistakes, killing her husband and leaving her alive. they won't live to make another. ellenhollman mattpassmore geraldinesinger stephendurham action"
Let Him Go,"a retired sheriff and his wife, grieving over the death of their son, set out to find their only grandson. dianelane kevincostner kaylicarter thomasbezucha crime drama thriller"
Bando,"a zombie virus has in the last 4 years spread to all south korea. 4 koreans in hong kong sail through the blockade to incheon for usd20,000,000 on a truck. dong-wongang leejung-hyun relee sang-hoyeon action horror thriller"
Bloodshot,"ray garrison, a slain soldier, is re-animated with superpowers. vindiesel eizagonzález samheughan davewilson action drama sciencefiction"
Archive,2038: george almore is working on a true human-equivalent ai. his latest prototype is almost ready. this sensitive phase is also the riskiest. especially as he has a goal that must be hidden at all costs. theojames stacymartin rhonamitra gavinrothery drama mystery sciencefiction
Wild Mountain Thyme,a pair of star-crossed lovers in ireland get caught up in their family's land dispute. emilyblunt jamiedornan jonhamm johnpatrickshanley comedy drama romance
Zola,a stripper named zola embarks on a wild road trip to florida. taylourpaige rileykeough nicholasbraun janiczabravo comedy crime drama
Songbird,"in 2024 a pandemic ravages the world and its cities. centering on a handful of people as they navigate the obstacles currently hindering society: disease, martial law, quarantine, and vigilantes. k.j.apa sofiacarson craigrobinson adammason drama sciencefiction thriller"
Supernova,"sam and tusker are traveling across england in their old rv to visit friends, family and places from their past. since tusker was diagnosed with dementia two years ago, their time together is the most important thing they have. colinfirth stanleytucci pippahaywood harrymacqueen drama romance"
Honest Thief,"wanting to lead an honest life, a notorious bank robber turns himself in, only to be double-crossed by two ruthless fbi agents. liamneeson katewalsh jaicourtney markwilliams action crime drama"
Project Power,"when a pill that gives its users unpredictable superpowers for five minutes hits the streets of new orleans, a teenage dealer and a local cop must team with an ex-soldier to take down the group responsible for its creation. jamiefoxx josephgordon-levitt dominiquefishback henryjoost,arielschulman action crime sciencefiction"
Pieces of a Woman,"when a young mother's home birth ends in unfathomable tragedy, she begins a year-long odyssey of mourning that fractures relationships with loved ones in this deeply personal story of a woman learning to live alongside her loss. vanessakirby shialabeouf ellenburstyn kornélmundruczó drama"
Antebellum,"successful author veronica henley finds herself trapped in a horrifying reality and must uncover the mind-bending mystery before it's too late. janellemonáe ericlange jenamalone gerardbush,christopherrenz drama horror mystery"
#Saraitda,"the rapid spread of an unknown infection has left an entire city in ungovernable chaos, but one survivor remains alive in isolation. it is his story. yooah-in parkshin-hye jeonbae-soo ilcho action drama horror"
The Craft: Legacy,a group of high school students form a coven of witches. caileespaeny zoeyluna gideonadlon zoelister-jones drama fantasy horror
Rebecca,"a young newlywed arrives at her husband's imposing family estate on a windswept english coast and finds herself battling the shadow of his first wife, rebecca, whose legacy lives on in the house long after her death. lilyjames armiehammer kristinscottthomas benwheatley drama mystery romance"
The Grudge,a house is cursed by a vengeful ghost that dooms those who enter it with a violent death. tarawestwood junkobailey davidlawrencebrown nicolaspesce fantasy horror
Fantasy Island,"when the owner and operator of a luxurious island invites a collection of guests to live out their most elaborate fantasies in relative seclusion, chaos quickly descends. michaelpeña maggieq lucyhale jeffwadlow action adventure fantasy"
Kol,"two people live in different times. seo-yeon lives in the present and young-sook lives in the past. one phone call connects the two, and their lives are changed irrevocably. parkshin-hye jeonjong-seo sung-ryungkim chung-hyunlee crime horror mystery"
Minamata,war photographer w. eugene smith travels back to japan where he documents the devastating effect of mercury poisoning in coastal communities. akikoiwase kogarashiwakasugi johnnydepp andrewlevitas drama
Onward,two elven brothers embark on a quest to bring their father back for one day. tomholland chrispratt julialouis-dreyfus danscanlon animation adventure comedy
Breach,"on the cusp of fatherhood, a junior mechanic aboard an interstellar ark to new earth must outwit a malevolent cosmic terror intent on using the spaceship as a weapon. codykearsley brucewillis rachelnichols johnsuits action horror sciencefiction"
Trolls World Tour,"when the queen of the hard rock trolls tries to take over all the troll kingdoms, queen poppy and her friends try different ways to save all the trolls. annakendrick justintimberlake rachelbloom waltdohrn,davidp.smith animation adventure comedy"
The Wolf of Snow Hollow,"terror grips a small mountain town as bodies are discovered after each full moon. losing sleep, raising a teenage daughter, and caring for his ailing father, officer marshall struggles to remind himself there's no such thing as werewolves. jimcummings rikilindhome robertforster jimcummings comedy horror mystery"
Holidate,"fed up with being single on holidays, two strangers agree to be each other's platonic plus-ones all year long, only to catch real feelings along the way. emmaroberts lukebracey kristinchenoweth johnwhitesell comedy romance"
Ammonite,"1840s england, acclaimed but overlooked fossil hunter mary anning and a young woman sent to convalesce by the sea develop an intense relationship, altering both of their lives forever. katewinslet saoirseronan gemmajones francislee biography drama history"
Six Minutes to Midnight,"uk, aug. 15, 1939: 17 days before wwii, an english teacher and his camera disappear on a coastal boarding school with 20 german teen girls. miller gets the job 6 days later, secretly trying to find out what happened. nigellindsay judidench eddieizzard andygoddard drama thriller"
The Kid Detective,"a once-celebrated kid detective, now 32, continues to solve the same trivial mysteries between hangovers and bouts of self-pity. until a naive client brings him his first 'adult' case, to find out who brutally murdered her boyfriend. kaitlynchalmers-rizzato adambrody kalebhorn evanmorgan comedy drama mystery"
We Can Be Heroes,"when alien invaders capture the earth's superheroes, their kids must learn to work together to save their parents- and the planet. yayagosselin pedropascal priyankachoprajonas robertrodriguez action comedy drama"
Falling,"john peterson lives with his partner eric and their adopted daughter in southern california. when he is visited by his aging father who is searching for a place to retire, their two very different worlds collide. viggomortensen lancehenriksen terrychen viggomortensen drama"
Alone,"a recently widowed traveler is kidnapped by a cold blooded killer, only to escape into the wilderness where she is forced to battle against the elements as her pursuer closes in on her. juleswillcox marcmenchaca anthonyheald johnhyams drama horror mystery"
The Midnight Sky,"this post-apocalyptic tale follows augustine, a lonely scientist in the arctic, as he races to stop sully and her fellow astronauts from returning home to a mysterious global catastrophe. georgeclooney felicityjones davidoyelowo georgeclooney drama fantasy sciencefiction"
The Dark and the Wicked,"on a secluded farm in a nondescript rural town, a man is slowly dying. his family gathers to mourn, and soon a darkness grows, marked by waking nightmares and a growing sense that something evil is taking over the family. marinireland michaelabbottjr. julieoliver-touchstone bryanbertino horror"
Escape from Pretoria,"based on the real-life prison break of two political captives, escape from pretoria is a race-against-time thriller set in the tumultuous apartheid days of south africa. danielradcliffe danielwebber ianhart francisannan thriller"
The World to Come,"somewhere along the mid-19th century american east coast frontier, two neighboring couples battle hardship and isolation, witnessed by a splendid yet testing landscape, challenging them both physically and psychologically. katherinewaterston vanessakirby caseyaffleck monafastvold drama romance"
Shiva Baby,"at a jewish funeral service with her parents, a college student runs into her sugar daddy. rachelsennott dannydeferrari fredmelamed emmaseligman comedy drama"
Irresistible,"a democratic strategist helps a retired veteran run for mayor in a small, conservative midwest town. stevecarell rosebyrne chriscooper jonstewart comedy drama"
You Should Have Left,"a former banker, his actress wife, and their spirited daughter book a vacation at an isolated modern home in the welsh countryside where nothing is quite as it seems. kevinbacon amandaseyfried averytiiuessex davidkoepp horror thriller"
Mignonnes,"amy, an 11-year-old girl, joins a group of dancers named ""the cuties"" at school, and rapidly grows aware of her burgeoning femininity - upsetting her mother and her values in the process. fathiayoussouf médinaelaidi-azouni esthergohourou maïmounadoucouré drama"
All the Bright Places,"the story of violet and theodore, who meet and change each other's lives forever. as they struggle with the emotional and physical scars of their past, they discover that even the smallest places and moments can mean something. ellefanning justicesmith alexandrashipp bretthaley drama romance"
Capone,"the 47-year old al capone, after 10 years in prison, starts suffering from dementia and comes to be haunted by his violent past. tomhardy lindacardellini mattdillon joshtrank biography crime drama"
Borat Subsequent Moviefilm: Delivery of Prodigious Bribe to American Regime for Make Benefit Once Glorious Nation of Kazakhstan,"borat returns from kazakhstan to america and this time he reveals more about the american culture, the covid-19 pandemic and the political elections. sachabaroncohen mariabakalova tomhanks jasonwoliner comedy"
The Old Ways,"cristina, a journalist of mexican origin, travels to her ancestral home in veracruz to investigate a story of sorcery and healing. there, she is kidnapped by a group of locals who claim she's the devil incarnated. brigittekalicanales andreacortés juliavera christopheralender drama fantasy horror"
The Call of the Wild,a sled dog struggles for survival in the wilds of the yukon. harrisonford omarsy caragee chrissanders adventure drama family
Come Play,a monster named larry manifests itself through smart phones and mobile devices. feature film version of the 2017 short film. azhyrobertson gillianjacobs johngallagherjr. jacobchase drama horror mystery
Superintelligence,"when an all-powerful superintelligence chooses to study average carol peters, the fate of the world hangs in the balance. as the a.i. decides to enslave, save or destroy humanity, it's up to carol to prove that people are worth saving. melissamccarthy jamescorden bobbycannavale benfalcone comedy romance sciencefiction"
The War with Grandpa,"upset that he has to share the room he loves with his grandfather, peter decides to declare war in an attempt to get it back. robertdeniro umathurman robriggle timhill comedy drama family"
The Way Back,"jack cunningham was a high school basketball phenom who walked away from the game, forfeiting his future. years later, when he reluctantly accepts a coaching job at his alma mater, he may get one last shot at redemption. benaffleck almadrigal janinagavankar gavino'connor drama sport"
My Salinger Year,"a college grad takes a clerical job working for the literary agent of the renowned, reclusive writer j.d. salinger. margaretqualley sigourneyweaver douglasbooth philippefalardeau drama"
An American Pickle,an immigrant worker at a pickle factory is accidentally preserved for 100 years and wakes up in modern-day brooklyn. sethrogen sarahsnook mollyevensen brandontrost comedy
Little Fish,a couple fights to hold their relationship together as a memory loss virus spreads and threatens to erase the history of their love and courtship. oliviacooke jacko'connell soko chadhartigan drama romance sciencefiction
Happiest Season,"a holiday romantic comedy that captures the range of emotions tied to wanting your family's acceptance, being true to yourself, and trying not to ruin christmas. kristenstewart mackenziedavis marysteenburgen cleaduvall comedy crime drama"
Lorelei,"a working-class fable about a biker, a mermaid and three shades of blue. jenamalone pabloschreiber ryanfindley sabrinadoyle drama"
Gretel & Hansel,"a long time ago in a distant fairy tale countryside, a young girl leads her little brother into a dark wood in desperate search of food and work, only to stumble upon a nexus of terrifying evil. sophialillis samuelleakey alicekrige ozperkins fantasy horror mystery"
Relic,"a daughter, mother and grandmother are haunted by a manifestation of dementia that consumes their family's home. robynnevin emilymortimer bellaheathcote natalieerikajames drama horror mystery"
Spenser Confidential,"when two boston police officers are murdered, ex-cop spenser teams up with his no-nonsense roommate, hawk, to take down criminals. markwahlberg winstonduke alanarkin peterberg action comedy crime"
