title,combined
Mary Queen of Scots,"mary stuart's (saoirse ronan's) attempt to overthrow her cousin elizabeth i (margot robbie), queen of england, finds her condemned to years of imprisonment before facing execution. saoirseronan margotrobbie jacklowden josierourke biography drama history"
If Beale Street Could Talk,a young woman embraces her pregnancy while she and her family set out to prove her childhood friend and lover innocent of a crime he didn't commit. kikilayne stephanjames reginaking barryjenkins drama romance
When We First Met,"noah meets avery at a halloween party and falls in love but gets friend-zoned. 3 years later, she's engaged to someone else. noah returns in a time machine to fix things. adamdevine alexandradaddario shelleyhennig arisandel comedy fantasy romance"
The Girl in the Spider's Web,"young computer hacker lisbeth salander and journalist mikael blomkvist find themselves caught in a web of spies, cybercriminals and corrupt government officials. clairefoy beaugadsdon sverrirgudnason fedealvarez action crime drama"
Race 3,relationships and loyalties of a criminal family planning its next big heist are tested when some shocking revelations strike them. anilkapoor salmankhan bobbydeol remod'souza action crime thriller
Unsane,"a young woman is involuntarily committed to a mental institution, where she is confronted by her greatest fear - but is it real or a product of her delusion? clairefoy joshualeonard jaypharoah stevensoderbergh drama horror mystery"
The Old Man & the Gun,based on the true story of forrest tucker and his audacious escape from san quentin at the age of 70 to an unprecedented string of heists that confounded authorities and enchanted the public. robertredford caseyaffleck sissyspacek davidlowery biography comedy crime
A Wrinkle in Time,"after the disappearance of her scientist father, three peculiar beings send meg, her brother, and her friend to space in order to find him. stormreid oprahwinfrey reesewitherspoon avaduvernay adventure family fantasy"
Dragged Across Concrete,"once two overzealous cops get suspended from the force, they must delve into the criminal underworld to get their proper compensation. melgibson vincevaughn torykittles s.craigzahler action crime drama"
American Animals,four young men mistake their lives for a movie and attempt one of the most audacious heists in u.s. history. spencerreinhard warrenlipka ericborsuk bartlayton biography crime drama
The Guernsey Literary and Potato Peel Pie Society,"in the aftermath of world war ii, a writer forms an unexpected bond with the residents of guernsey island when she decides to write a book about their experiences during the war. jessicabrownfindlay tomcourtenay michielhuisman mikenewell drama romance war"
Anon,"in a world without anonymity or crime, a detective meets a woman who threatens their security. cliveowen afiyabennett morganallen andrewniccol crime sciencefiction thriller"
Peter Rabbit,feature adaptation of beatrix potter's classic tale of a rebellious rabbit trying to sneak into a farmer's vegetable garden. jamescorden fayssalbazzi domhnallgleeson willgluck animation adventure comedy
The Perfection,"when troubled musical prodigy charlotte seeks out elizabeth, the new star pupil of her former school, the encounter sends both musicians down a sinister path with shocking consequences. mariemaskell allisonwilliams christinajastrzembska richardshepard drama horror music"
Night School,a group of high school dropouts are forced to attend night school in hope that they'll pass the ged exam to finish high school. kevinhart tiffanyhaddish robriggle malcolmd.lee comedy
Operation Finale,a team of secret agents set out to track down the nazi officer who masterminded the holocaust. oscarisaac benkingsley mélanielaurent chrisweitz biography drama history
Under the Silver Lake,"sam, a disenchanted young man, finds a mysterious woman swimming in his apartment's pool one night. the next morning, she disappears. sam sets off across la to find her, and along the way he uncovers a conspiracy far more bizarre. andrewgarfield rileykeough tophergrace davidrobertmitchell crime drama mystery"
Summer of 84,"after suspecting that their police officer neighbor is a serial killer, a group of teenage friends spend their summer spying on him and gathering evidence, but as they get closer to discovering the truth, things get dangerous. grahamverchere judahlewis calebemery françoissimard,anoukwhissell,yoann-karlwhissell drama horror mystery"
Tumbbad,"a mythological story about a goddess who created the entire universe. the plot revolves around the consequences when humans build a temple for her first-born. sohumshah jyotimalshe anitadate rahianilbarve,anandgandhi,adeshprasad drama fantasy horror"
Sierra Burgess Is a Loser,a case of mistaken identity results in unexpected romance when the most popular girl in high school and the biggest loser must come together to win over their crushes. shannonpurser kristinefroseth rjcyler iansamuels comedy drama romance
Smallfoot,"a yeti is convinced that the elusive creatures known as ""humans"" really do exist. channingtatum jamescorden zendaya kareykirkpatrick,jasonreisig animation adventure comedy"
Overboard,"after a spoiled, wealthy yacht owner is thrown overboard and loses his memory, a mistreated employee convinces him that he is her working-class husband. eugenioderbez annafaris evalongoria robgreenberg comedy romance"
Boy Erased,the son of a baptist preacher unwillingly participates in a church-supported gay conversion program after being forcibly outed to his parents. lucashedges nicolekidman joeledgerton joeledgerton biography drama
Life of the Party,"after her husband abruptly asks for a divorce, a middle-aged mother returns to college in order to complete her degree. melissamccarthy mattwalsh mollygordon benfalcone comedy"
Hold the Dark,"after the deaths of three children suspected to be killed by wolves, writer russell core is hired by the mother of a missing six-year-old boy to track down and locate her son in the alaskan wilderness. jeffreywright alexanderskarsgård jamesbadgedale jeremysaulnier action drama thriller"
Replicas,a scientist becomes obsessed with bringing back his family members who died in a traffic accident. keanureeves aliceeve thomasmiddleditch jeffreynachmanoff drama sciencefiction thriller
Stan & Ollie,"laurel and hardy, the world's most famous comedy duo, attempt to reignite their film careers as they embark on what becomes their swan song - a grueling theatre tour of post-war britain. stevecoogan johnc.reilly shirleyhenderson jons.baird biography comedy drama"
Ratsasan,a sub-inspector sets out in pursuit of a mysterious serial killer who targets teen school girls and murders them brutally. vishnuvishal amalapaul radharavi ramkumar action crime drama
Arif V 216,"after 8 years, arif's old friend 216 from planet gora pays a visit to earth.together they go on a quest where they'll be visiting 60's. cemyilmaz ozangüven özkanugur kivançbaruönü comedy fantasy music"
Braven,a logger defends his family from a group of dangerous drug runners. jasonmomoa garretdillahunt jillwagner linoeding action thriller
Holmes & Watson,a humorous take on sir arthur conan doyle's classic mysteries featuring sherlock holmes and doctor watson. willferrell johnc.reilly ralphfiennes etancohen comedy crime mystery
The Hate U Give,"starr witnesses the fatal shooting of her childhood best friend khalil at the hands of a police officer. now, facing pressure from all sides of the community, starr must find her voice and stand up for what's right. amandlastenberg reginahall russellhornsby georgetillmanjr. crime drama"
White Boy Rick,"the story of teenager richard wershe jr., who became an undercover informant for the fbi during the 1980s and was ultimately arrested for drug-trafficking and sentenced to life in prison. matthewmcconaughey richiemerritt belpowley yanndemange crime drama"
Mute,a mute bartender goes up against his city's gangsters in an effort to find out what happened to his missing partner. alexanderskarsgård paulrudd justintheroux duncanjones mystery sciencefiction thriller
The Open House,"a teenager and his mother find themselves besieged by threatening forces when they move into a new house. dylanminnette pierceydalton patriciabethune mattangel,suzannecoote horror thriller"
Winchester,"ensconced in her sprawling san jose, california mansion, eccentric firearm heiress sarah winchester (dame helen mirren) believes she is haunted by the souls of people killed by the winchester repeating rifle. helenmirren sarahsnook finnscicluna-o'prey michaelspierig,peterspierig biography drama horror"
Todos lo saben,"laura, a spanish woman living in buenos aires, returns to her hometown outside madrid with her two children to attend her sister's wedding. however, the trip is upset by unexpected events that bring secrets into the open. penélopecruz javierbardem ricardodarín asgharfarhadi crime drama mystery"
